id,topic,from,to,contents,date,type,party,state,constituency,constituency_type
4113,Global Supply Chain,"['Tewari, Shri Manish']",EARTH SCIENCES,"Will the Minister of EARTH SCIENCES be pleased to state: (a) the details of the amount of rare earth reserves India possesses and the installed mining, production and processing capacity; (b) whether the Government is aware of the global supply chain constraints leading to global shortages of rare earths and thereby to Microprocessor chips; (c) if so, the details thereof; (d) whether the Government has assessed its impact on Indian markets and if so, the details thereof; (e) whether the Government is aware of the fact that China is one of the leading producers of rare earths controlling 90% of the total global production; (f) whether despite possessing one of the largest rare earth reserves, India imports most of its rare earth requirements from China; (g) if so, the details of rare earth imports in the last five years, country-wise, element/compound-wise, including both weight and cost; and (h) the steps being taken by the Government to make India a leading rare earth producer?",2021-12-22,UNSTARRED,['Indian National Congress'],['Punjab'],['Anandpur Sahib'],['']
4114,Innovation Schemes,"['Hema Malini, Smt.']",SCIENCE AND TECHNOLOGY,"Will the Minister of SCIENCE AND TECHNOLOGY be pleased to state: (a) whether the Government is implementing several schemes regarding innovation; (b) if so, whether by taking advantage of the said schemes, the school children of remote areas are being successful in finding innovative solutions to day-to-day problems; (c) if so, the details thereof; and (d) the details of the solutions presented by the school children under the said Government schemes regarding innovation and the recognition given to these solutions in various States of the country, including Uttar Pradesh, during the last three years?",2021-12-22,UNSTARRED,['Bharatiya Janata Party'],['Uttar Pradesh'],['Mathura'],['']
4115,Share in Freight Transport,"['Gogoi, Shri Gaurav']",RAILWAYS,"Will the Minister of RAILWAYS be pleased to state: (a) whether the Government is aware that the Railways share in freight transportation in India is a mere 18% and if so, the details thereof; 761 (b) whether the Railways has taken steps towards increasing axle loads and train length enabling trains to move faster to increase its share in freight transport and if so, the details thereof; (c) whether the Railways has plans for developing specialised heavy-haul corridors; (d) if so, the current status of the construction of the six proposed dedicated freight corridors; (e) whether the Railways plans to upgrade its corridors to incorporate intermodal (rail and road) transport; (f) if so, the details thereof and if not, the reasons therefor; and (g) whether the contribution envisioned by the Railways to Indias net-zero targets?",2021-12-22,UNSTARRED,['Indian National Congress'],['Assam'],['Kaliabor'],['']
4116,National Startup Advisory Council,"['Sharma, Dr. Arvind Kumar']",COMMERCE AND INDUSTRY,"Will the Minister of COMMERCE AND INDUSTRY be pleased to state: (a) whether the National Startup Advisory Council has delivered or is delivering on its mandate, sufficiently enough or as intended; (b) if so, the details thereof; and (c) if not, the reasons therefor?",2021-12-22,UNSTARRED,['Bharatiya Janata Party'],['Haryana'],['Rohtak'],['']
4117,Failure of BSNL and MTNL,"['Rao, Shri Nama Nageswara']",COMMUNICATIONS,"Will the Minister of COMMUNICATIONS be pleased to state: (a) whether the Government has identified the reasons for the failure of BSNL and MTNL to increase their market share as compared to their private counterparts despite having large infrastructure, particularly in the urban areas and if so, the details thereof; (b) whether the Government is considering the restructuring of BSNL and MTNL to make there competitive and profitable and if so, the plan prepared by the Government in this regard and the time line of its implementation; and (c) the details of losses of BSNL & MTNL during the last three years, along with outstanding debt and the State-wise book value of their physical infrastructure?",2021-12-22,UNSTARRED,['Telangana Rashtra Samithi'],['Telangana'],['Khammam'],['']
4118,Railway Projects in Jharkhand,"['Choudhary, Shri Chandra Prakash', 'Sinha, Shri Jayant']",RAILWAYS,"Will the Minister of RAILWAYS be pleased to state: (a) the details of new railway projects that were announced for Jharkhand during the last three years including Hazaribagh and Ramgarh, District-wise; (b) the number of projects, out of these, commissioned so far and the budgetary allocations made for the same; (c) the status of those projects which have not been commissioned and the time by when these would be commissioned; (d) the number of new trains announced and commissioned during the last three years which originate from Hazaribagh and Ramgarh district of Jharkhand along with the details thereof; (e) the number of new railway tracks laid or being laid in Jharkhand with special reference to Parasnath , Giridih, Bokaro and Dhanbad region during the said period along with the details of their progress; and (f) the percentage of railway lines that has been electrified in Jharkhand, especially in the Hazaribagh and Ramgarh districts?",2021-12-22,UNSTARRED,"['AJSU Party', 'Bharatiya Janata Party']","['Jharkhand', 'Jharkhand']","['Giridih', 'Hazaribagh']","['', '']"
4119,Development of Railways,"['Mondal, Shri Sunil Kumar']",RAILWAYS,"Will the Minister of RAILWAYS be pleased to state: (a) the details of the funds allocated for the development of Railways in the country during the financial year 2020-21; (b) the amount of funds released and expended till date, State/UT-wise; and (c) the future initiatives envisaged in this regard?",2021-12-22,UNSTARRED,['All India Trinamool Congress'],['West Bengal'],['Bardhaman Purba'],['SC']
4120,Delay in filling up the Vacant Posts,"['Singh, Shri Kirti Vardhan']",RAILWAYS,"Will the Minister of RAILWAYS be pleased to state: (a) whether the Railways has been following the recommendations made by the 5th Pay Commission wherein with a view to reduce delay in filling up of posts, vacancies resulting from resignation or death of an incumbent within one year of its appointment should be filled immediately from the reserve list; (b) if so, whether the same has been adopted by DoPT vide their OM No 41019/18/97-Estt (b) dated 13.06.2000; (c) if so the details of the appointments made during the last three years by the various zones of the Railways; (d) whether the Railways is aware that Zonal office of NER at Gorakhpur has not filled the vacant post against the advertisement No CEN01/2018 of Assistant Locopilot till date; and (e) if so, the reasons therefor? 762",2021-12-22,UNSTARRED,['Bharatiya Janata Party'],['Uttar Pradesh'],['Gonda'],['']
4121,Cases of Cheating in Kendriya Bhandar,"['Singh, Shri Sushil Kumar']",PRIME MINISTER,"Will the PRIME MINISTER be pleased to state: (a) whether some vendors of Kendriya Bhandar have cheated and caused pecuniary loss to Kendriya Bhandar as stated by the OSD(vigilance) in the Office Order No.KB/5/2020-Vig (Mis-3) dated 6.3.2020; (b) if so, the details thereof and modus-operandi adopted by the said vendors of Kendriya Bhandar; (c) whether the said vendors who have cheated Kendriya Bhandar have been identified and if so, the details thereof and the action taken against them; (d) whether the vendor involved in cheating Kendriya Bhandar are still doing business with Kendriya Bhandar and they visit Kendriya Bhandars head office daily and are in constant touch with the management of Kendriya Bhandar; (e) whether the Secretary(Personnel) CWO and CVO Kendriya Bhandar have received complaints about the said fraud happened in Kendriya Bhandar from the Member(s) of Kendriya Bhandar and Member(s) of Parliament via e-mail and dak and if so, the details thereof and the action taken thereon; (f) whether the office of CWO asked CVO Kendriya Bhandar to take appropriate action in the matter vide letter No.13/1/2019-Welfare dated 28.6.2021 and if so, the details of action taken by CVO Kendriya Bhandar in this matter; and (g) whether the management of Kendriya Bhandar in collusion with the CVO Kendriya Bhandar and dishonest vendors have destroyed the forged and tempered store issue notes and if so, the details thereof?",2021-12-22,UNSTARRED,['Bharatiya Janata Party'],['Bihar'],['Aurangabad'],['']
4122,Atmanirbhar Package,"['Mohammed, Shri Faizal P.P.']","CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION","Will the Minister of CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION , be pleased to state: (a) the percentage of food grain offtake out of total allocated under the Atmanirbhar Bharat Package (ANBP), State-wise, since inception till date; (b) the number of targeted beneficiaries for food grain distribution and the actual number of beneficiaries under ANBP, State-wise, since inception till date; (c) the percentage of food grain distributed out of total offtake under ANBP, State-wise, since inception till date; (d) the manner in which the Ministry is identifying beneficiaries and ensuring appropriate allocations; and (e) the details of the current buffer stock of major pulses as on date? .",2021-12-22,UNSTARRED,['Nationalist Congress Party'],['Lakshadweep'],['Lakshadweep'],['ST']
4123,Pragati Project,"['Kuriakose, Adv. Dean']",PRIME MINISTER,"Will the PRIME MINISTER be pleased to state: (a) whether the Government has the details of projects monitored under the Pragati Project; (b) if so, the State/UT-wise details thereof; (c) whether the Government has the details of projects being monitored in the State of Kerala under the above scheme; and (d) if so, the details and the status of the above projects?",2021-12-22,UNSTARRED,['Indian National Congress'],['Kerala'],['Idukki'],['']
4124,Upgradation/Modernization of Bareilly Railway Station,"['Kashyap, Shri Dharmendra Kumar']",RAILWAYS,"Will the Minister of RAILWAYS be pleased to state: (a) whether the Railways has decided to upgrade/ modernize Bareilly railway station of Uttar Pradesh and if so, the details thereof; (b) whether the work of up-gradation of Bareilly railway station has since been partially completed, if so, the details thereof and if not, the reasons therefor; (c) whether the work of high-level platform, waiting room, lift, escalator, shading of platform, ramp, etc. have been completed at this station; (d) if so, the details thereof and if not, the reasons therefor; (e) whether any timeline has been set by the Government for the said up-gradation work and if so, the details thereof; and (f) the amount that has been spent so far for the above said work?",2021-12-22,UNSTARRED,['Bharatiya Janata Party'],['Uttar Pradesh'],['Aonla'],['']
